Year,Month,Day,Close,AdjustedClose
1979,6,29,1618.40,1614.29
1979,7,2,0.00,0.00
1979,7,3,1602.80,1598.73
1979,7,4,1591.40,1587.36
1979,7,5,1583.90,1579.88
1979,7,6,1586.60,1582.57
1979,7,9,1586.30,1582.27
1979,7,10,1580.20,1576.19
1979,7,11,1563.20,1559.23
1979,7,12,1533.70,1529.81
1979,7,13,1537.40,1533.50
1979,7,16,1551.60,1547.66
1979,7,17,1560.90,1556.94
1979,7,18,1550.80,1546.86
1979,7,19,1552.40,1548.46
1979,7,20,1557.50,1553.54
1979,7,23,1546.00,1542.07
1979,7,24,1547.10,1543.17
1979,7,25,1556.80,1552.85
1979,7,26,1570.00,1566.01
1979,7,27,1578.00,1573.99
1979,7,30,1568.10,1564.12
1979,7,31,1558.10,1554.14
1979,8,1,1558.10,1554.14
1979,8,2,1560.90,1556.94
1979,8,3,1557.80,1553.84
1979,8,6,0.00,0.00
1979,8,7,1555.90,1551.95
1979,8,8,1565.20,1561.23
1979,8,9,1566.50,1562.52
1979,8,10,1575.00,1571.00
1979,8,13,1582.10,1578.08
1979,8,14,1584.30,1580.28
1979,8,15,1600.70,1596.64
1979,8,16,1606.90,1602.82
1979,8,17,1619.20,1615.09
1979,8,20,1640.70,1636.53
1979,8,21,1657.30,1653.09
1979,8,22,1665.20,1660.97
1979,8,23,1662.00,1657.78
1979,8,24,1669.70,1665.46
1979,8,27,1678.70,1674.44
1979,8,28,1678.90,1674.64
1979,8,29,1678.50,1674.24
1979,8,30,1679.70,1675.43
1979,8,31,1695.30,1690.99
1979,9,3,0.00,0.00
1979,9,4,1689.40,1685.11
1979,9,5,1661.80,1657.58
1979,9,6,1694.40,1690.10
1979,9,7,1725.30,1720.92
1979,9,10,1720.90,1716.53
1979,9,11,1715.70,1711.34
1979,9,12,1727.10,1722.71
1979,9,13,1719.00,1714.63
1979,9,14,1731.90,1727.50
1979,9,17,1728.90,1724.51
1979,9,18,1719.10,1714.73
1979,9,19,1721.90,1717.53
1979,9,20,1737.00,1732.59
1979,9,21,1740.90,1736.48
1979,9,24,1735.60,1731.19
1979,9,25,1736.90,1732.49
1979,9,26,1751.20,1746.75
1979,9,27,1758.80,1754.33
1979,9,28,1751.90,1747.45
1979,10,1,1753.50,1749.05
1979,10,2,1771.90,1767.40
1979,10,3,1780.50,1775.98
1979,10,4,1790.90,1786.35
1979,10,5,1804.70,1800.12
1979,10,8,0.00,0.00
1979,10,9,1740.30,1735.88
1979,10,10,1689.50,1685.21
1979,10,11,1685.80,1681.52
1979,10,12,1674.90,1670.65
1979,10,15,1643.20,1639.03
1979,10,16,1617.30,1613.19
1979,10,17,1620.40,1616.29
1979,10,18,1639.50,1635.34
1979,10,19,1597.50,1593.44
1979,10,22,1537.30,1533.40
1979,10,23,1526.00,1522.12
1979,10,24,1538.40,1534.49
1979,10,25,1521.10,1517.24
1979,10,26,1527.80,1523.92
1979,10,29,1542.60,1538.68
1979,10,30,1556.20,1552.25
1979,10,31,1579.30,1575.29
1979,11,1,1603.40,1599.33
1979,11,2,1610.90,1606.81
1979,11,5,1600.60,1596.54
1979,11,6,1597.00,1592.94
1979,11,7,1578.50,1574.49
1979,11,8,1573.20,1569.20
1979,11,9,1588.00,1583.97
1979,11,12,1612.80,1608.70
1979,11,13,1615.10,1611.00
1979,11,14,1623.90,1619.78
1979,11,15,1632.70,1628.55
1979,11,16,1625.70,1621.57
1979,11,19,1628.50,1624.36
1979,11,20,1631.70,1627.56
1979,11,21,1624.40,1620.27
1979,11,22,0.00,0.00
1979,11,23,1651.70,1647.51
1979,11,26,1682.20,1677.93
1979,11,27,1688.10,1683.81
1979,11,28,1695.00,1690.70
1979,11,29,1703.30,1698.97
1979,11,30,1699.60,1695.28
1979,12,3,1700.10,1695.78
1979,12,4,1716.70,1712.34
1979,12,5,1728.70,1724.31
1979,12,6,1746.60,1742.16
1979,12,7,1730.30,1725.91
1979,12,10,1726.50,1722.12
1979,12,11,1723.00,1718.62
1979,12,12,1755.80,1751.34
1979,12,13,1765.80,1761.32
1979,12,14,1743.50,1739.07
1979,12,17,1772.40,1767.90
1979,12,18,1783.90,1779.37
1979,12,19,1782.50,1777.97
1979,12,20,1787.90,1783.36
1979,12,21,1785.40,1780.87
1979,12,24,1787.30,1782.76
1979,12,25,0.00,0.00
1979,12,26,1787.30,1782.76
1979,12,27,1798.60,1794.03
1979,12,28,1804.30,1799.72
1979,12,31,1813.20,1808.60
1980,1,1,0.00,0.00
1980,1,2,1806.10,1801.51
1980,1,3,1789.40,1784.86
1980,1,4,1795.20,1790.64
1980,1,7,1814.10,1809.49
1980,1,8,1832.60,1827.95
1980,1,9,1854.00,1849.29
1980,1,10,1884.10,1879.32
1980,1,11,1898.70,1893.88
1980,1,14,1922.20,1917.32
1980,1,15,1944.50,1939.56
1980,1,16,1946.80,1941.86
1980,1,17,1968.10,1963.10
1980,1,18,1966.70,1961.71
1980,1,21,1973.20,1968.19
1980,1,22,1920.70,1915.82
1980,1,23,1934.10,1929.19
1980,1,24,1952.60,1947.64
1980,1,25,1955.10,1950.14
1980,1,28,1972.70,1967.69
1980,1,29,1988.70,1983.65
1980,1,30,2025.60,2020.46
1980,1,31,2027.70,2022.55
1980,2,1,2032.60,2027.44
1980,2,4,2039.80,2034.62
1980,2,5,2018.70,2013.57
1980,2,6,2022.90,2017.76
1980,2,7,2052.20,2046.99
1980,2,8,2100.40,2095.07
1980,2,11,2118.60,2113.22
1980,2,12,2117.10,2111.72
1980,2,13,2107.70,2102.35
1980,2,14,2045.00,2039.81
1980,2,15,2044.90,2039.71
1980,2,18,0.00,0.00
1980,2,19,2093.40,2088.08
1980,2,20,2125.40,2120.00
1980,2,21,2144.50,2139.05
1980,2,22,2140.00,2134.57
1980,2,25,2119.00,2113.62
1980,2,26,2146.00,2140.55
1980,2,27,2165.90,2160.40
1980,2,28,2177.60,2172.07
1980,2,29,2192.60,2187.03
1980,3,3,2182.50,2176.96
1980,3,4,2164.90,2159.40
1980,3,5,2165.90,2160.40
1980,3,6,2096.50,2091.18
1980,3,7,2045.70,2040.50
1980,3,10,1974.60,1969.59
1980,3,11,2005.10,2000.01
1980,3,12,1996.30,1991.23
1980,3,13,1966.80,1961.81
1980,3,14,1947.30,1942.36
1980,3,17,1864.80,1860.06
1980,3,18,1884.80,1880.01
1980,3,19,1924.00,1919.11
1980,3,20,1906.50,1901.66
1980,3,21,1888.10,1883.31
1980,3,24,1830.80,1826.15
1980,3,25,1819.80,1815.18
1980,3,26,1798.20,1793.63
1980,3,27,1702.50,1698.18
1980,3,28,1789.20,1784.66
1980,3,31,1797.60,1793.04
1980,4,1,1807.80,1803.21
1980,4,2,1807.20,1802.61
1980,4,3,1793.50,1788.95
1980,4,4,0.00,0.00
1980,4,7,1784.90,1780.37
1980,4,8,1815.60,1810.99
1980,4,9,1858.10,1853.38
1980,4,10,1877.90,1873.13
1980,4,11,1871.50,1866.75
1980,4,14,1865.90,1861.16
1980,4,15,1851.20,1846.50
1980,4,16,1818.60,1813.98
1980,4,17,1801.70,1797.12
1980,4,18,1807.00,1802.41
1980,4,21,1784.50,1779.97
1980,4,22,1818.30,1813.68
1980,4,23,1830.70,1826.05
1980,4,24,1843.80,1839.12
1980,4,25,1848.40,1843.71
1980,4,28,1850.30,1845.60
1980,4,29,1866.10,1861.36
1980,4,30,1869.90,1865.15
1980,5,1,1875.00,1870.24
1980,5,2,1884.90,1880.11
1980,5,5,1878.90,1874.13
1980,5,6,1860.30,1855.58
