January,1956,525.63,,,,
February,1956,545.15,,,,
March,1956,588.91,,,,
April,1956,583.61,,,,
May,1956,560.09,,,,
June,1956,575.39,,,,
July,1956,617.67,,,,
August,1956,603.75,,,,
September,1956,566.99,,,,
October,1956,554.02,,,,
November,1956,524.63,,,,
December,1956,564.97,,,,
January,1957,568.14,,,,
February,1957,545.24,,,,
March,1957,563.76,,,,
April,1957,589.32,,,,
May,1957,606.14,,,,
June,1957,592.74,,,,
July,1957,577.34,,,,
August,1957,520.16,,,,
September,1957,483.30,,,,
October,1957,447.81,,,,
November,1957,458.28,,,,
December,1957,432.11,,,,
January,1958,448.97,,,,
February,1958,444.10,,,,
March,1958,457.38,,,,
April,1958,454.02,,,,
May,1958,472.88,,,,
June,1958,484.63,,,,
July,1958,508.17,,,,
August,1958,514.82,,,,
September,1958,531.72,,,,
October,1958,537.39,,,,
November,1958,539.95,,,,
December,1958,547.72,,,,
January,1959,562.52,,,,
February,1959,566.64,,,,
March,1959,562.67,,,,
April,1959,567.91,,,,
May,1959,568.99,,,,
June,1959,573.36,,,,
July,1959,598.96,,,,
August,1959,568.50,,,,
September,1959,541.36,,,,
October,1959,541.19,,,,
November,1959,538.37,,,,
December,1959,555.09,,,,
January,1960,529.80,,,,
February,1960,512.23,,,,
March,1960,512.05,,,,
April,1960,503.08,,,,
May,1960,517.97,,,,
June,1960,505.11,,,,
July,1960,494.06,,,,
August,1960,526.47,,,,
September,1960,500.33,,,,
October,1960,500.20,,,,
November,1960,519.43,,,,
December,1960,544.74,,,,
January,1961,575.60,,,,
February,1961,594.40,,,,
March,1961,605.61,,,,
April,1961,633.44,,,,
May,1961,646.09,,,,
June,1961,650.67,,,,
July,1961,662.35,,,,
August,1961,672.44,,,,
September,1961,661.60,,,,
October,1961,665.52,,,,
November,1961,685.69,,,,
December,1961,700.85,,,,
January,1962,682.83,,,,
February,1962,686.81,,,,
March,1962,686.01,,,,
April,1962,667.55,,,,
May,1962,612.41,,,,
June,1962,572.46,,,,
July,1962,586.08,,,,
August,1962,600.28,,,,
September,1962,571.84,,,,
October,1962,580.70,,,,
November,1962,626.17,,,,
December,1962,628.99,,,,
January,1963,659.89,,,,
February,1963,638.45,,,,
March,1963,657.52,,,,
April,1963,689.22,,,,
May,1963,700.41,,,,
June,1963,674.43,,,,
July,1963,656.32,,,,
August,1963,660.72,,,,
September,1963,680.62,,,,
October,1963,686.03,,,,
November,1963,679.15,,,,
December,1963,702.71,,,,
January,1964,721.44,,,,
February,1964,715.36,,,,
March,1964,743.19,,,,
April,1964,770.46,,,,
May,1964,797.14,,,,
June,1964,795.63,,,,
July,1964,813.76,,,,
August,1964,808.84,,,,
September,1964,843.59,,,,
October,1964,846.66,,,,
November,1964,850.10,,,,
December,1964,853.53,,,,
January,1965,901.40,,,,
February,1965,897.45,,,,
March,1965,889.54,,,,
April,1965,911.26,,,,
May,1965,909.11,,,,
June,1965,847.10,,,,
July,1965,838.42,,,,
August,1965,858.92,,,,
September,1965,873.38,,,,
October,1965,888.86,,,,
November,1965,863.75,,,,
December,1965,881.14,,,,
January,1966,917.75,,,,
February,1966,895.21,,,,
March,1966,883.03,,,,
April,1966,891.22,,,,
May,1966,861.74,,,,
June,1966,856.94,,,,
July,1966,842.77,,,,
August,1966,780.38,,,,
September,1966,761.11,,,,
October,1966,775.89,,,,
November,1966,770.76,,,,
December,1966,789.51,,,,
January,1967,843.44,,,,
February,1967,851.43,,,,
March,1967,879.95,,,,
April,1967,898.15,,,,
May,1967,864.58,,,,
June,1967,886.91,,,,
July,1967,915.45,,,,
August,1967,904.64,,,,
September,1967,922.50,,,,
October,1967,868.65,,,,
November,1967,890.69,,,,
December,1967,899.20,,,,
January,1968,873.62,,,,
February,1968,835.33,,,,
March,1968,814.79,,,,
April,1968,887.47,,,,
May,1968,879.08,,,,
June,1968,925.39,,,,
July,1968,920.14,,,,
August,1968,943.95,,,,
September,1968,989.11,,,,
October,1968,"1,003.97",,,,
November,1968,"1,041.56",,,,
December,1968,"1,062.88",,,,
January,1969,"1,090.82",,,,
February,1969,"1,039.02",,,,
March,1969,"1,072.16",,,,
April,1969,"1,102.46",,,,
May,1969,"1,131.04",,,,
June,1969,"1,008.55",,,,
July,1969,950.75,,,,
August,1969,998.53,,,,
September,1969,991.79,,,,
October,1969,"1,005.69",,,,
November,1969,"1,031.26",,,,
