year,month,day,close
02,01,1970,93.00
05,01,1970,93.46
06,01,1970,92.82
07,01,1970,92.63
08,01,1970,92.68
09,01,1970,92.40
12,01,1970,91.70
13,01,1970,91.92
14,01,1970,91.65
15,01,1970,91.68
16,01,1970,90.92
19,01,1970,89.65
20,01,1970,89.83
21,01,1970,89.95
22,01,1970,90.04
23,01,1970,89.37
26,01,1970,88.17
27,01,1970,87.62
28,01,1970,86.79
29,01,1970,85.69
30,01,1970,85.02
02,02,1970,85.75
03,02,1970,86.77
04,02,1970,86.24
05,02,1970,85.90
06,02,1970,86.33
09,02,1970,87.01
10,02,1970,86.10
11,02,1970,86.94
12,02,1970,86.73
13,02,1970,86.54
16,02,1970,86.47
17,02,1970,86.37
18,02,1970,87.44
19,02,1970,87.76
20,02,1970,88.03
24,02,1970,87.99
25,02,1970,89.35
26,02,1970,88.90
27,02,1970,89.50
02,03,1970,89.71
03,03,1970,90.23
04,03,1970,90.04
05,03,1970,90.00
06,03,1970,89.44
09,03,1970,88.51
10,03,1970,88.75
11,03,1970,88.69
12,03,1970,88.33
13,03,1970,87.86
16,03,1970,86.91
17,03,1970,87.29
18,03,1970,87.54
19,03,1970,87.42
20,03,1970,87.06
23,03,1970,86.99
24,03,1970,87.98
25,03,1970,89.77
26,03,1970,89.92
30,03,1970,89.63
31,03,1970,89.63
01,04,1970,90.07
02,04,1970,89.79
03,04,1970,89.39
06,04,1970,88.76
07,04,1970,88.52
08,04,1970,88.49
09,04,1970,88.53
10,04,1970,88.24
13,04,1970,87.64
14,04,1970,86.89
15,04,1970,86.73
16,04,1970,85.88
17,04,1970,85.67
20,04,1970,85.83
21,04,1970,85.38
22,04,1970,84.27
23,04,1970,83.04
24,04,1970,82.77
27,04,1970,81.46
28,04,1970,80.27
29,04,1970,81.81
30,04,1970,81.52
01,05,1970,81.44
04,05,1970,79.37
05,05,1970,78.60
06,05,1970,79.47
07,05,1970,79.83
08,05,1970,79.44
11,05,1970,78.60
12,05,1970,77.85
13,05,1970,76.53
14,05,1970,75.44
15,05,1970,76.90
18,05,1970,76.96
19,05,1970,75.46
20,05,1970,73.52
21,05,1970,72.16
22,05,1970,72.25
25,05,1970,70.25
26,05,1970,69.29
27,05,1970,72.77
28,05,1970,74.61
29,05,1970,76.55
01,06,1970,77.84
02,06,1970,77.84
03,06,1970,78.52
04,06,1970,77.36
05,06,1970,76.17
08,06,1970,76.29
09,06,1970,76.25
10,06,1970,75.48
11,06,1970,74.45
12,06,1970,73.88
15,06,1970,74.58
16,06,1970,76.15
17,06,1970,76.00
18,06,1970,76.51
19,06,1970,77.05
22,06,1970,76.64
23,06,1970,74.76
24,06,1970,73.97
25,06,1970,74.02
26,06,1970,73.47
29,06,1970,72.89
30,06,1970,72.72
01,07,1970,72.94
02,07,1970,72.92
06,07,1970,71.78
07,07,1970,71.23
08,07,1970,73.00
09,07,1970,74.06
10,07,1970,74.45
13,07,1970,74.55
14,07,1970,74.42
15,07,1970,75.23
16,07,1970,76.34
17,07,1970,77.69
20,07,1970,77.79
21,07,1970,76.98
22,07,1970,77.03
23,07,1970,78.00
24,07,1970,77.82
27,07,1970,77.65
28,07,1970,77.77
29,07,1970,78.04
30,07,1970,78.07
31,07,1970,78.05
03,08,1970,77.02
04,08,1970,77.19
05,08,1970,77.18
06,08,1970,77.08
07,08,1970,77.28
10,08,1970,76.20
11,08,1970,75.82
12,08,1970,75.42
13,08,1970,74.76
14,08,1970,75.18
17,08,1970,75.33
18,08,1970,76.20
19,08,1970,76.96
20,08,1970,77.84
21,08,1970,79.24
24,08,1970,80.99
25,08,1970,81.12
26,08,1970,81.21
27,08,1970,81.08
28,08,1970,81.86
31,08,1970,81.52
01,09,1970,80.95
02,09,1970,80.96
03,09,1970,82.09
04,09,1970,82.83
08,09,1970,83.04
09,09,1970,82.79
10,09,1970,82.30
11,09,1970,82.52
14,09,1970,82.07
15,09,1970,81.36
16,09,1970,81.79
17,09,1970,82.29
18,09,1970,82.62
21,09,1970,81.91
22,09,1970,81.86
23,09,1970,81.91
24,09,1970,81.66
25,09,1970,82.83
28,09,1970,83.91
29,09,1970,83.86
30,09,1970,84.30
01,10,1970,84.32
02,10,1970,85.16
05,10,1970,86.47
06,10,1970,86.85
07,10,1970,86.89
08,10,1970,85.95
09,10,1970,85.08
12,10,1970,84.17
13,10,1970,84.06
14,10,1970,84.19
15,10,1970,84.65
16,10,1970,84.28
19,10,1970,83.15
20,10,1970,83.64
21,10,1970,83.66
22,10,1970,83.38
23,10,1970,83.77
26,10,1970,83.31
27,10,1970,83.12
28,10,1970,83.43
29,10,1970,83.36
30,10,1970,83.25
02,11,1970,83.51
03,11,1970,84.22
04,11,1970,84.39
05,11,1970,84.10
06,11,1970,84.22
09,11,1970,84.67
10,11,1970,84.79
11,11,1970,85.03
12,11,1970,84.15
13,11,1970,83.37
16,11,1970,83.24
17,11,1970,83.47
18,11,1970,82.79
19,11,1970,82.91
20,11,1970,83.72
23,11,1970,84.24
24,11,1970,84.78
25,11,1970,85.09
27,11,1970,85.93
30,11,1970,87.20
01,12,1970,87.47
02,12,1970,88.48
03,12,1970,88.90
04,12,1970,89.46
07,12,1970,89.94
08,12,1970,89.47
09,12,1970,89.54
10,12,1970,89.92
11,12,1970,90.26
14,12,1970,89.80
15,12,1970,89.66
16,12,1970,89.72
17,12,1970,90.04
18,12,1970,90.22
21,12,1970,89.94
22,12,1970,90.04
23,12,1970,90.10
24,12,1970,90.61
28,12,1970,91.09
29,12,1970,92.08
30,12,1970,92.27
31,12,1970,92.15
04,01,1971,91.15
05,01,1971,91.80
06,01,1971,92.35
07,01,1971,92.38
08,01,1971,92.19
11,01,1971,91.98
12,01,1971,92.72
13,01,1971,92.56
14,01,1971,92.80
15,01,1971,93.03
18,01,1971,93.41
19,01,1971,93.76
20,01,1971,93.78
21,01,1971,94.19
22,01,1971,94.88
25,01,1971,95.28
26,01,1971,95.59
27,01,1971,94.89
28,01,1971,95.21
29,01,1971,95.88
01,02,1971,96.42
02,02,1971,96.43
03,02,1971,96.63
04,02,1971,96.62
05,02,1971,96.93
08,02,1971,97.45
09,02,1971,97.51
10,02,1971,97.39
11,02,1971,97.91
12,02,1971,98.43
16,02,1971,98.66
17,02,1971,98.20
18,02,1971,97.56
19,02,1971,96.74
22,02,1971,95.72
23,02,1971,96.09
24,02,1971,96.73
25,02,1971,96.96
26,02,1971,96.75
01,03,1971,97.00
02,03,1971,96.98
03,03,1971,96.95
04,03,1971,97.92
05,03,1971,98.96
08,03,1971,99.38
09,03,1971,99.46
10,03,1971,99.30
11,03,1971,99.39
12,03,1971,99.57
15,03,1971,100.71
16,03,1971,101.21
17,03,1971,101.12
18,03,1971,101.19
19,03,1971,101.01
22,03,1971,100.62
23,03,1971,100.28
24,03,1971,99.62
25,03,1971,99.61
26,03,1971,99.95
29,03,1971,100.03
30,03,1971,100.26
31,03,1971,100.31
01,04,1971,100.39
02,04,1971,100.56
05,04,1971,100.79
06,04,1971,101.51
07,04,1971,101.98
08,04,1971,102.10
12,04,1971,102.88
13,04,1971,102.98
14,04,1971,103.37
15,04,1971,103.52
16,04,1971,103.49
19,04,1971,104.01
20,04,1971,103.61
21,04,1971,103.36
22,04,1971,103.56
23,04,1971,104.05
26,04,1971,103.94
27,04,1971,104.59
28,04,1971,104.77
29,04,1971,104.63
30,04,1971,103.95
03,05,1971,103.29
04,05,1971,103.79
05,05,1971,103.78
06,05,1971,103.23
07,05,1971,102.87
10,05,1971,102.36
11,05,1971,102.62
12,05,1971,102.90
13,05,1971,102.69
14,05,1971,102.21
17,05,1971,100.69
18,05,1971,100.83
19,05,1971,101.07
20,05,1971,101.31
21,05,1971,100.99
24,05,1971,100.13
25,05,1971,99.47
26,05,1971,99.59
27,05,1971,99.40
28,05,1971,99.63
01,06,1971,100.20
02,06,1971,100.96
03,06,1971,101.01
04,06,1971,101.30
07,06,1971,101.09
08,06,1971,100.32
09,06,1971,100.29
