Month,Year,AverageValue
1,1970,90.33
2,1970,87.16
3,1970,88.65
4,1970,85.95
5,1970,76.06
6,1970,75.58
7,1970,75.72
8,1970,77.93
9,1970,82.37
10,1970,84.37
11,1970,84.29
12,1970,90.05
1,1971,93.49
2,1971,97.11
3,1971,99.60
4,1971,103.05
5,1971,101.64
6,1971,99.67
7,1971,98.98
8,1971,97.24
9,1971,99.40
10,1971,97.29
11,1971,92.78
12,1971,99.17
1,1972,103.30
2,1972,105.24
3,1972,107.69
4,1972,108.81
5,1972,107.65
6,1972,108.01
7,1972,107.21
8,1972,111.01
9,1972,109.39
10,1972,109.56
11,1972,115.05
12,1972,117.50
1,1973,118.42
2,1973,114.16
3,1973,112.42
4,1973,110.27
5,1973,107.22
6,1973,104.75
7,1973,105.83
8,1973,103.80
9,1973,105.61
10,1973,109.84
11,1973,102.03
12,1973,94.78
1,1974,96.11
2,1974,93.45
3,1974,97.44
4,1974,92.46
5,1974,89.67
6,1974,89.79
7,1974,82.82
8,1974,76.03
9,1974,68.12
10,1974,69.44
11,1974,71.74
12,1974,67.07
1,1975,72.56
2,1975,80.10
3,1975,83.83
4,1975,84.72
5,1975,90.10
6,1975,92.40
7,1975,92.49
8,1975,85.71
9,1975,84.67
10,1975,88.57
11,1975,90.07
12,1975,88.70
1,1976,96.86
2,1976,100.64
3,1976,101.08
4,1976,101.93
5,1976,101.16
6,1976,101.77
7,1976,104.20
8,1976,103.29
9,1976,105.45
10,1976,101.89
11,1976,101.19
12,1976,104.66
1,1977,103.81
2,1977,100.96
3,1977,100.57
4,1977,99.05
5,1977,98.76
6,1977,99.29
7,1977,100.18
8,1977,97.75
9,1977,96.23
10,1977,93.74
11,1977,94.28
12,1977,93.82
1,1978,90.25
2,1978,88.98
3,1978,88.82
4,1978,92.71
5,1978,97.41
6,1978,97.66
7,1978,97.19
8,1978,103.92
9,1978,103.86
10,1978,100.58
11,1978,94.71
12,1978,96.11
1,1979,99.71
2,1979,98.23
3,1979,100.11
4,1979,102.07
5,1979,99.73
6,1979,101.73
7,1979,102.71
8,1979,107.36
9,1979,108.60
10,1979,104.47
11,1979,103.66
12,1979,107.78
1,1980,110.87
2,1980,115.34
3,1980,104.69
4,1980,102.97
5,1980,107.69
6,1980,114.55
7,1980,119.83
8,1980,123.50
9,1980,126.51
10,1980,130.22
11,1980,135.65
12,1980,133.48
1,1981,132.97
2,1981,128.40
3,1981,133.18
4,1981,134.43
5,1981,131.73
6,1981,132.28
7,1981,129.13
8,1981,129.63
9,1981,118.27
10,1981,119.80
11,1981,122.92
12,1981,123.79
1,1982,117.28
2,1982,114.50
3,1982,110.84
4,1982,116.31
5,1982,116.35
6,1982,109.70
7,1982,109.38
8,1982,109.65
9,1982,122.43
10,1982,132.66
11,1982,138.10
12,1982,139.37
1,1983,144.27
2,1983,146.80
3,1983,151.88
4,1983,157.71
5,1983,164.10
6,1983,166.37
7,1983,166.95
8,1983,162.42
9,1983,167.16
10,1983,167.65
11,1983,165.23
12,1983,164.37
1,1984,166.39
2,1984,157.25
3,1984,157.44
4,1984,157.60
5,1984,156.55
6,1984,153.12
7,1984,151.08
8,1984,164.42
9,1984,166.11
10,1984,164.82
11,1984,166.27
12,1984,164.48
1,1985,171.61
2,1985,180.88
3,1985,179.42
4,1985,180.62
5,1985,184.90
6,1985,188.89
7,1985,192.54
8,1985,188.31
9,1985,184.21
10,1985,186.18
11,1985,197.45
12,1985,207.26
1,1986,208.19
2,1986,219.37
3,1986,232.33
4,1986,237.97
5,1986,238.46
6,1986,245.30
7,1986,240.18
8,1986,245.00
9,1986,238.27
10,1986,237.36
11,1986,245.09
12,1986,248.61
1,1987,264.51
2,1987,280.93
3,1987,292.47
4,1987,289.32
5,1987,289.12
6,1987,301.38
7,1987,310.09
8,1987,329.36
9,1987,318.66
10,1987,280.16
11,1987,245.01
12,1987,240.96
1,1988,250.48
2,1988,258.13
3,1988,265.74
4,1988,262.62
5,1988,256.12
6,1988,270.68
7,1988,269.05
8,1988,263.73
9,1988,267.97
10,1988,277.40
11,1988,271.02
12,1988,276.51
1,1989,285.41
